text,label
this couple successfully cloned their dog after he died,1
"the hardest ""fuck, marry, kill"" game ever for beauty addicts",1
15 bumper stickers all twentysomethings need,1
u.s. supreme court hears mgm v. grokster,0
are cats better than dogs,1
19 reasons you should be making dessert in your slow cooker,1
19 amazing diy gifts that only look expensive,1
23 incredibly disrespectful things people did to food in 2015,1
27 utterly terrible ways food was actually served in 2015,1
18 moments of incredible humanity during the chennai rains,1
what are you sick of hearing about being unladylike,1
environmental gains lose priority in china amid downturn,0
israel elects 18th knesset,0
fast food fried chicken taste test,1
"this kid dancing to justin bieber's ""sorry"" is absolutely slaying it",1
"which ""halloweentown"" movie would you have starred in",1
fierce lobbying greets bill to ease unionizing,0
santana provides cure for all that ails mets,0
"paper or plastic? at one show, the latter wins big",0
do you know why these teens are famous,1
2007 icc world twenty20: south africa vs england,0
u.s. producer price index shows inflation at bay,0
"a young george clooney almost got brad pitt's part in ""thelma and louise""",1
kfc's colonel sanders as a unicorn will either ruin you or give you life,1
13 sushi-themed gifts perfect for anyone obsessed with food,1
activists claim police harrassment as g20 summit nears,0
serbia welcomes biden on balkan tour,0
"98th annual east texas state fair opens in tyler, texas",0
america's cup: team new zealand wins over alinghi in second race,0
'davos man' versus 'camp igloo'; 42nd world economic forum convenes in swiss alps,0
14 models with albinism who are taking the fashion world by storm,1
my iud and me: a lesbian love story,1
"nascar: dale earnhardt, jr. earns 2011 daytona 500 pole",0
"stephen colbert went full ""hunger games"" last night",1
17 pictures everyone who's slightly obsessed with tea will understand,1
a new dad proposed to his girlfriend right after the birth of their baby,1
this duo is travelling across india for a year to highlight the issues nobody's talking about,1
ecamm offers a wireless webcam for macs,0
the perils and pleasures of entrepreneurship,0
the case for a second chance for michael vick,0
no survivors in cambodian air crash,0
"plane carrying sixteen people vanishes over papua, indonesia",0
a trove of clues from smartphones for marketers,0
bmw cuts jobs at plant that makes the mini,0
what's your absolute favorite song to sing at karaoke,1
creationist sentiments affect imax business strategy,0
u.s. baseball: delgado starts off well with marlins,0
novitzky aids prosecutors in clemens investigation,0
santas taste test reindeer,1
bc election writ drops; referendum campaigns underway,0
"everything you need to know about the upcoming season of ""the outs""",1
buildings destroyed to slow flooding in china lake,0
how stanford financial dodged u.s. regulators,0
device on nets may protect sea turtles,0
34 questions stephenie meyer needs to answer immediately,1
j.k. rowling has some important opinions about whether snape is a hero,1
2007/08 dfb cup: fc bayern munich beats burghausen in shootout to advance,0
21 moments anyone who has been day drunk will recognize,1
how well do you remember the nes mario games,1
these babies laughing uncontrollably are exactly what you need right now,1
something's wrong with santa's reindeer,1
argentina decides to move up its elections,0
pakistan stuns south africa to reach final,0
21 incredibly easy weeknight meals that'll take 20 minutes or less,1
this woman unknowingly photographed her own engagement,1
robotic cars successfully complete 132-mile darpa grand challenge race,0
west virginia upsets no. 12 georgetown,0
8 types of girls you've danced with,1
we know your age based on your opinions about taylor swift,1
"in st. louis, glorious stadium honors glorious past",0
which british tv drama man will you hook up with,1
ireland votes 'yes' to lisbon treaty,0
us president obama celebrates his first martin luther king jr. day while in office,0
15 delicious ways to make your favorite candy even better,1
"boy, 9, enters a guilty plea in 2 killings in arizona",0
this colour test will reveal your orgasm face,1
26 hilarious reasons people actually cried while drunk,1
"gaza war strengthens israeli hard-liners, not those in power",0
16 of the most important dog vines of 2015,1
dutch mp advocates proscription of koran,0
pope expected to address role of church in canadian abuses,0
23 things you probably shouldn't say to someone with depression,1
22 coloring books that will calm you the heck down,1
31 british men who just wanted you to love them in 2015,1
bid for madoff trading unit is $15 million,0
"citing economy worries, argentine leader seeks early vote",0
iran stands firmly against nuclear agency resolution,0
this dad finding out his wife is pregnant will make your uterus skip a beat,1
appeals court stops release of 17 detainees in u.s.,0
this guy pranked his girlfriend every time he took her photo by filming a video instead,1
15 struggles everyone who has a celebrity crush knows to be true,1
sixteen christian converts arrested in iran; facing death penalty,0
bill clinton leaves hospital following heart procedure,0
pope benedict xvi to visit benin in 2011,0
"this ""50 shades"" twitter account is the one every nerd has been waiting for",1
26 pictures anyone who's celebrated thanksgiving will recognize,1
13 ideas for budget-friendly beach weekend getaways for new yorkers,1
we had pro gamers compete against vets at a shooting range,1
"scandinavian airlines system to cut 8,600 jobs",0
california bans sale of violent video games to minors,0
"locks still flowing 20 years later, ron duguay returns to the ice",0
justices reject ruling on retrial of enron executive,0
british lecturers meet to vote on israeli academic boycott,0
rossi won't continue with legal appeals over failed bid for washington state governorship,0
artists made these heartbreaking posters as tribute to child victims of the peshawar school attack,1
"this couple shares their house with a ""unicorn"" and it's beyond adorable",1
19 gifts for the naughtiest mom you know,1
tell us about yourself(ie): erica ash,1
journalists for start-ups and freelancers face dangers,0
"lupita nyong'o ate part of her ""star wars"" costume for lunch every day",1
royal bank of scotland shares plummet,0
tomtom go 740 live has cellphone connectivity,0
23 of the world's greatest cookies,1
"this song using obama's ""pop off"" comment is everything you need today",1
"5 lit ""empire"" cocktails for your viewing parties",1
bomb hurt seven police in basque city of bilbao,0
2007 twenty20 world championship: england vs australia,0
"can you identify these cars from ""grand theft auto: vice city""",1
mortgages turn lucrative for banks in second quarter,0
"this kangaroo is kind of hot, yeah",1
if ashley madison passwords were motivational posters,1
"new movies, 9 september 2005",0
fda backs clone meat,0
"closing the roof on a new era, for better and worse",0
brazilian economist celso furtado dies,0
apple computer ceo steve jobs gives opening keynote to wwdc 2005,0
22 perfect responses to wrong number texts,1
"fedex cargo jet crashes in narita, burns",0
nebraska bill would give sum to falsely imprisoned,0
tell us who you think wore it best to the emmys,1
british airways to fly to iceland,0
killen convicted of manslaughter for 1964 civil rights workers murders,0
can you pass the cookie tin test,1
british scholar tony judt dies aged 62,0
"if hogwarts students were ""mean girls"" characters",1
muzak files  chapter 11 to refinance debt,0
saturn's moon titan hosts liquid lakes and rivers,0
"21 pictures only ""the hobbit"" fans will think are funny",1
walt disney plans to lay off workers,0
clinton and obama call for unity in democratic party,0
is it time to retrain business schools?,0
wikimania 2007 exhibitions shows the culture of freedom,0
uk lawyer comments on court case against boeing over london jet crash,0
literally just a bunch of gifs of paul rudd dancing,1
"comic relief funds allegedly invested in arms, alcohol and tobacco firms",0
should black cars be banned,1
several firms interested in barclays unit,0
21 hilarious tweets about tv that will make you laugh every time,1
31 albums that will be 20 years old in 2016,1
17 insanely brilliant ways to hide alcohol in your outfit,1
how annabeth chase are you,1
"as data collecting grows, privacy erodes",0
executive hired to salvage a.i.g. becomes a target,0
"dam in queensland, australia bursts, four missing",0
spelbound declared winner of britain's got talent 2010,0
russian stock markets suspended amid market turmoil,0
deaths on south african roads at 1215 for december 2005,0
"fondly, greenland loosens danish rule",0
quebec city mayor dies unexpectedly,0
australian businessmen arrested in china for spying,0
us unemployment rate highest in 26 years,0
demi lovato is being accused of stealing the sample in her new song,1
21 celebrity instagrams you need to see this week,1
mine that bird: where did the name come from?,0
corruption blamed for papuan rainforest destruction,0
"suicide bomber assassinates prominent shia cleric in karachi, pakistan",0
the dark arts of bradford cox,1
violence erupts in guadeloupe after labor dispute,0
these cereal cocktails will give you the breakfast you deserve,1
the 22 most important celebrity tweets of all time,1
"large chimpanzee shot and killed by police in us after it attacks woman, officers",0
proposed united states doctrine would expand possible use of nuclear weapons,0
somebody please buy me this genius alarm clock rug,1
grandmother of barack obama dies at 86,0
here are the celebrities who have come out in support of kesha,1
"how well do you remember the pets from ""friends""",1
"13 marvel ""what if"" stories that totally came true",1
kentucky lawmaker in critical condition after fight in high school cafeteria,0
"train collision kills at least eighteen near brussels, belgium",0
"film channel has name, but no network carrier",0
"melanie oudin, a 17-year-old american, reaches third round at wimbledon",0
al qaeda: 'blair brought destruction to the heart of london',0
japan pays a price for its lifetime jobs,0
uk christian group plans to highlight concerns about new law by using it to ban the qur'an,0
"with goals again scarce, rangers hold on against islanders",0
22 pictures people who are good students will never understand,1
5 children presumed dead in houston flash flood,0
adele the frenchie wants to say hello,1
major ad campaign for starbucks to focus on quality,0
"what would your ""love actually"" storyline be",1
irish bishop resigns over child abuse scandal,0
4.5-kilometre bridge to link crimea with russia,0
this is a special keepsake inauguration column,0
19 stealthy products that'll protect all your things,1
fox news security hole exposes 1.5 million users' personal information,0
27 tweets that'll speak to every britney spears fan's soul,1
mtv to put a bit more music back on television,0
virgin media and universal reach download deal,0
"leery of debt, germany shuns a spending spree",0
"2007 rugby world cup: new zealand, australia and ireland win",0
"women are coloring their hair ""opal"" and the results are mind-blowing",1
18 problems only people who are always cold understand,1
13 signs you might own a badass winter cat,1
what was the crappiest part you ever had in a school play,1
fifth bomb discovered in london after july 21 attacks,0
17 surefire ways to make a hipster cry,1
"which ""american horror story: coven"" witch should be your bff",1
"we really, really need to talk about harry styles' hair",1
"after a pause, wall street pay bounces back",0
china and russia continue joint army exercise,0
"reality tv star, jade goody, prepares to die in spotlight",0
"g.o.p. now praises parts of stimulus plan, which it opposed",0
florida leader wants u.s. money to fill budget gap,0
pope appeals for respectful sundays,0
us supreme court to hear guantanamo bay cases,0
greek terrorists claim an attack,0
we know which female disney character you are based on your zodiac,1
priest charged in exorcism death,0
every girl with a lot of hair has these struggles,1
"ritual sacrifice in nepal sees 320,000 animals slaughtered to hindu goddess",0
argentine admiral emilio eduardo massera dies at age 85,0
us swimmer dies in open-water race,0
which carb is your soulmate,1
"do you remember the pilot episode of ""bob's burgers""",1
"bank of italy governor, antonio fazio, presents resignation today",0
poison sue capitol records and emi music marketing over royalties,0
former us president jimmy carter meets with hamas leader,0
nasa solar sail passes first major test,0
"even for ad agencies, high-priced consumption is out",0
"here's what you need to know about the women of ""transcendent""",1
here's how to not get sick when you're traveling,1
18 times dylan sprouse was the absolute best person on twitter,1
17 times the fragility of masculinity went way too far,1
commodities still attract the adventurous,0
19 photos of dogs being adorable during the blizzard,1
"how well do you remember ""the nightmare before christmas""",1
22 heroes who will give you eternal light,1
animal rights protestor found guilty of oxford arson plot,0
eli manning has the most incredible new nickname,1
bp report into gulf of mexico disaster lays blame on other contractors,0
we know if you're hungry based on your reaction to these gifs,1
"mobile operator orange bills french doctor €160,000 for one month of internet use",0
pope to lift restrictions on latin mass,0
17 gorgeous teal pumpkins that are anything but scary,1
hurricane richard makes landfall in belize,0
rumsfeld to remain in bush administration,0
"ryan reynolds got dunked on ""ellen"" to raise money for make-a-wish foundation",1
can we guess what '90s toy you deserve for christmas,1
13 pictures to brighten your bad day,1
glenbard east defeated by benet academy in illinois basketball sectional,0
sailor senshi imagined as disney princesses,1
"soyuz arrives, and space station becomes home for 6",0
a dad turned all the ridiculous things he ends up saying to his kids into a book,1
"historic gym the site of benet academy, illinois victory over oswego",0
halsey opened up about what it's like living with endometriosis,1
19 people who prove rainbow eyebrows are insanely gorgeous,1
senator says he had affair with an aide,0
the inner beauty of a mcnugget: a cultural scan,0
seasonal allergy problems,1
tropical storm gabrielle eyes us east coast,0
can we guess your zodiac sign based on your favorite gift,1
14 ways to be a healthyish eater right now,1
philadelphia newspapers seeking bankruptcy,0
