text,label
@followfrankie it was jokes!!!  me love the mag..really!,4
"is rotting away at her desk. Would've been really down and out but thanks to YL, you made my day. You're the best support system - EVER!",9
@casndra okayy mail me thenn  Lol im hyperrr too much candy &amp;&amp; Jello x],5
@lenje - Still a pity it comes with no lamb though,10
"made dentist appointment. 9th of June. feel sick and nervous already  However. Ibprofen, Paracetemol and Codeine are my friends. *sigh*",10
"just woke up, no school today, we are free",9
"The Aspitar Hospital in Doha is amazing. Great service, nice building and free WiFi. Win",10
Soo Tired. My head hurts. I Love Andy sooooo much!,10
@killerannax now vickyt is losing to demi AND miley,8
Listening to Hey Zulu - Red n' Meth. Sux to be at work right now,10
"I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",10
@hollie__ Aww bless her. She's one of my faves,12
uhh I wish someone would include me in their follow friday - would be great to get more followers,12
Trying to go to sleep but no luck  I think i'm sick... =S,12
@DReinhardt1 ooooh it's you lol I didn't know!! Have fun with your princess,5
drunkfda twittering is lone of my favorite hobbies&lt;3 being drunk is my PROFESSIONNNNN,5
unpacking my new toy arrived in the studio right now  it's called TC Finalizer. can't wait to check how it sounds !!!,5
Sitting on my sunny balcony and learning for the Dutch exam,9
Happy Mother's day to all beautiful mother. May your love shines the world  Thank you mum.....,8
Well I am up and have been productive since 5:30am!!! Woohoo busy day with lots to do!,5
Gained 3lbs wish I could afford something other than top ramen... If only I had a job...,10
"Back at home,11 hours till work",8
@TeamTSwift I no  i wanna move to america!!!!!!!!!!!!!!!,8
You know when your FAT when someone points it out.  ugh...what an aweful day... I feel like breaking down.,12
will sleep in a while. still mourning the adobo he cooked.  http://plurk.com/p/x12gf,8
@katyperry it's Under a Honeymoon by The Good Life,7
@kimble09 yeah   but I'm jus glad the thunder stopped .,5
@cdtpiper laptop has been handed over to the master. I will be getting it back next weekend - fingers crossed! Will let you know,2
"@Jonasbrothers Nice skillz Nick  x love always, Marjorie &amp; Jemimah. Sydney, Australia.",7
@theloudninja Not by choice.  I have to use it for that one project that never ends!,12
just made a cake for mi madre  i'm goooooddd!,7
Not feelin right. Hope the feeling passes. Stupid stomach.,10
"Oh noes, Not Your Average Joes in Lexington is closing!  Sad",11
going to the library. I miss u already!,7
@WatchMeRise youre very welcome....you deserve it!!,5
@Brizzers haha i agree lame....another thought  y are their concerts so expensive......that's kinda lame too,12
"@pro01, @if__fi: ??????? ?? ?? ?? ??????. ? ?? ???, ???? ?? ??? 100 ????, ?? ?? ?? ?? ?????",8
"I had some work to do, but my wrist hurts too much to do any of it.",10
"@1critic Yep, ah, damn, I don't wanna leave my warm doona to get a hot beverage...I guess I'll just have to make do w/o it",8
says Happy Mother's Day to all Moms out there  http://plurk.com/p/stkr2,5
I am such a worthless person. No one i love loves me back the way that they should.,10
@TaylaMcCloud yeah i did haha 3rd episode is up as well,12
unfortunately people at work let me down so I am now having a bad morning! it's official... but revenge is a dish best served cold,10
@toddkashdan thanks Todd. Enjoyed reading your blog too - I had a little cheer for good old Alfred Wallace. Curious to read your book,5
MIffed to discover that I only own De La Soul's &quot;Stakes Is High&quot; on cassette! And iTunes/Amazon don't sell a digital copy,11
@telesilla Indeed. Thanks for sharing that! Now I can go to sleep giggling. Night!,5
"Not paying attention at school, more distracted on browsing on Pokernews",2
"just when i thought things couldn't get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery.",12
@b50 heheh ....qualifying was pretty exciting tho  ..,5
having my brecky. Good Morning  x,11
"@djcamilo classics are timeless...dont believe me, check youtube, google, etc. Numbers dont lie &amp; i actually performed it last night,",4
@cyrusbaby I miss you...  come over and say bye before I leave!!,12
Chilling out....now the boys have gone  Time To Relax,9
I don't like thunder. And neither does the doggy.,12
"I must have applied for about 20 jobs every day this week, why won't one of them contact me???",2
"Cleaning out my desk, I've found a betting slip from three months ago, I stuck a tenner on #newcastle getting relegated. In the money",8
waiting for my mom to get home,2
"@terbear59 yes the new one, I adore both though  who doesn't love Vincent!!!",8
"Justin Timberlake, How You can easily become a reiki master?  at http://tinyurl.com/reiki88",4
"Love sundays. Especially when F1 is on!! Still in PJ's, no plans to get out of them any time soon",7
"@IanJenkin don't worry they are use to it, we always give them grief, they usually take it well!!!  nearly always!",12
#DepecheMode concert next week cancelled  Alternative date not known yet. Dave Gahan had a tumor.,10
Now I'm at a doppppe rock show in the LES .. Moshie moshhhh pit  http://twitpic.com/4wkhi,8
@erikarbautista ! HE HAS A FAVOURITE! You're his favourite ;) OMGAAH.   sorry for creepering? ..not really lol,7
STEP 1: be a photoshop expert  http://plurk.com/p/ros47,8
@xanderprod glad you liked the gmail add-on too. We visual people like the asthetics to be right don't we.,9
tamlyn wishes she was as cool as my sock draw,8
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,11
@Brandonhobelman i hope everything works out for you at school  keep me updated and have a good day!,12
Going to workout + swin... fun,4
@langleyjoel @jenn_langley Hi guys! Guess who has Twitter on her phone now? Me!,12
@justeezy  woh won at least you aren't in the NYC situation,12
"@Rockergirl75 And now she also rides giant squids...who knew! Ama hafta go now  i'll try and get on later, love to you xxx",7
Just found mj mouse flats at DJs. Of course there are none left in my size,10
heading up to the farm   dont want to i wanna stay here and talk with my boyfriend... STUPID MOM FOR MAKING ME GO UP &gt;.&lt;,10
@kristensaywhaa Good deal! Im doing good thank u   The one about me loving my mom?,7
@danipoynterjudd yeah but i missed it 2nite,8
@kaleidoscopeFTW But he got to do it with Effy!,12
@Kay26 *sigh* me miss them days !!,10
Just recollecting my jog this a.m. - almost perfect except unkown type hanging out by my vehicle.  Too much mental noise- only 6 mile jog,5
http://bit.ly/X7D1c  Spanish Grand Prix 2009  in one hour!,5
"she's smarter and classier. she's perfect for him. and, IM NOT.",3
"@theclassiccrime i love your music  especially the fight, thats a awsome song by far !",7
@BamaBlockhead No.. $16 is a good price considering WHO you are going to see!    Right?,5
Listening to dashboard confessional &amp; counting down the days until the @varsityfc concert on May 16th with @ashgoz,5
@tommcfly We're running out of things to tweet to you.  Wish we could get your reply! Come to the Philippines?  TWEEET!,12
"Apparently TV could not be fixed  On the plus side, we are being refunded the cost of it and can buy a new one.",3
dinner was yummy and all... but i'm still super tired after all the things we went through to enroll for college.,10
Spent some time exploring Atlas and Hercules craters; re-finding things in UMa; Oph; Ser Caput; &amp; Saturn w/ a fogged eyepiece   Home by 2a,8
"Going for a walk in Nï¿½mme to test out new hiking equipment: telescopic trekking poles, boots, coolmax socks",8
@mrstreme Thanks so much! I will be back on tour soon. Two new books in the pipeline!,5
@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.,10
why did last.fm wanted money from me to listen to my radios,11
OMGSH IM BEING FOLLOWED BY &gt;&gt;PARAMORE&lt;&lt; :O,11
happy mother's day to all the moms out there. i hope i never join that crowd,7
now watching kill bill vol. 1  i love movies so much.,12
@superficialgirl yeah the tomato paste and oil is traditional on a sandwich.. eat it with some olives and maltese cheese  yum!,5
ewww exams next week . i dont think i can do it  ahhhhhhhhhhhhhh,8
Amazing day with my boyfriend. He's a good drummer.,7
"@metaphoricxeyes You sure have a good voice, better than mine; you should definitely put up a new video. I bet you got better since then!",8
"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D",5
@itsgabbith hMm well at least you got them out! Sorry about it though  wish you could keep them in!!!,12
changos el link no me sirve mta,7
Kyle going to the garage. His night is done. Think we'll get an interview?  #NASCAR,11
is fed up of stupid bots adding me,6
"@robbcox that made me laugh.  Sorry Grets, but you are not going to the Pool Room.",4
"@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow",11
Finally get to lay down for a bit i have a major headache,9
