text,label
i have had the worst headache ever in the history of worst headaches today!  man i hate those!,6
Going to bed after beating the snot out of hubby w/ Texas hold em,7
im really tired.. not much time to sleep,10
is missing the fun she had with @Sylars_Army at Eclipse 3  #SArmy #SArmy #SArmy,10
@o0CHiiNKz (blinks fast) its better now ... Lol thanks :-*,7
is helping @karenegge making a twitter account,8
thursday night was amazing taylor swift gave me one of her braclets,11
@fashion_retweet I do my best - that's why running skirts are on the scene as well,4
i neeeeeeeed music suggestions but no one will give them,10
"Not making good time, fucking Chicago traffic  - Photo: http://bkite.com/07XOi",6
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,5
i REALLY hope my parents don't make me stay home for being sick,12
hasa Lemon Cake in the oven and is going on to make Pork Casserole  Domestic or what!,8
@Merlene Cool! You're in the 5-figure-Tweeter Club.,5
@Natalija been there  sucks like hell.,1
"@sakka: What, you're not really an alcoholic? I AM V. DISAPPOINTED! D: Seriously, though, I got that you were kidding.",11
needs some snuggle time....  but has to get through the work day first.  Boo.,8
"woo just made this, follow me",5
"@Ah_Lex_Ah hey alexa, you heard right  looking forward to causing some mischief on friday!!",3
Shower. Then back to bed. So sick still.,6
"@_CorruptedAngel my god, really! Really? 50? Christ",10
"@iamTAYON I would if I was drivin :\ hahaha. but get me a Carol C. Special, yeah?",4
@tommcfly yeahhh! u've got plenty of great fans!! And in Spain too! u should come and play a gig here!!,4
"@sianmclachlan Sorry, that was a bit negative!",12
HAPPY MOTH3R'S DAY 2 3V3RY IN TH3 WORLD!!! ILY,7
@hermorrine Yeah I've noticed  I miss Spender. But you were closer to him. How are you holding up?,12
Mad tht I didn't make time to hang out with a friend but I already pinky promised tht I will clear my calendar tomorrow,6
@binncheol  I'm afraid so. All tour I have had people refusing to believe that I am anything else... Irish all the way.,10
i just realized today was my last day to see my best friend tanner im goin to miss him so much,10
"@sheagunther Damn, I'd be interested in working with Care2, but I don't live in SF anymore",12
"@colorarmy: I'll keep y'all in my prayers but welcome back to TX  Hope you have a good,safe flight",7
@jason_2008 thanks  there's a men's version in June. It's very popular.,11
This chair is not comfortable at all,6
Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,8
@RaspberryHatter  aw. that sounds amazing  But I think I have work. Thank you for inviting me though,10
Just saw a dooope bmw 6 series parked with the top back....to bad it was raining,10
http://twitpic.com/670rw - i miss my puppy,10
And then you find out today they had there first kiss! },8
Burned my pinky.  great way to start my weekend thats gonna suck anyway.,12
"@flashyfem Sorry to hear that.  If I didn't already so much planned this weekend, I'd have considered going too.",10
"Travel trade stalwart, David Steele of City Cruises marks his retirement with a Thames Cruise Party tonight - press day means I miss out",4
I gotta do my assignments tomorrow  OMG mackillop has swine,12
@melissaar I know you didn't agree with. It just angered me. Sorry for going postal.,10
@jerzicua fuck it. You don't look well. You have to go home.,12
I'm going to see sweeney todd on stage with my best friend for her bday today (I know I'm going to be the one who sings along!!),5
will be MIA until june 13.. finals,8
Oh and i almost forgot i have to take my lip ring out for water polo season,8
Off to revise for a bit back soon,8
@BSBTwitt U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac &amp; TLC..2 bad they're not singing anymore,4
@LOVEHATE_ENVY how come you dont think you did good?!,5
Not ready for this year to end,12
"@Elise_Smith they are very yummy, i'm eating one too!  BAGELS!",5
"@whatsyourcrime ok, so I'm replying!  happy mothers day, indeed!",5
@StampGarden PRETTY! I hope I win,12
friends romans and country men lol ppl need 2 help me out and say i have twitter i dont have any friends   loner loner la da da,2
I'm out looking for warblers! Seen a yellow so far!  And a blue grey gnatcatcher,8
just got outta work.  ....... Frankie's house.,8
from seeing all my koreans buisnesses failing.,12
@unknownnunes Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside,7
Just finished down loading AIM6.9 and guess what! I can get updates from Twitter on it!  Message me at: i am katie arttt,5
@8short_stack8 mady were did u go?  truck did u run away?,12
@JustYassy i did  i dont no,8
"@Meylanie what about the dilfs? Oh wait, wrong month....HAPPY MOTHERS DAY",7
cavs got lucky 2night  lol but lebron took over and killed em another triple double,12
@mrskutcher http://twitpic.com/4w9zb - must... stick.. my... thumb.. in .. chin... dimple!! lol  my hubby has one lol  but his is un ...,12
@jtypeplus Addictive isn't it. Biz could definately be better! Folks have just slowed down on getting their done.,8
@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,12
I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,10
@aami1982 probably a bit short on the rude words and I bet it was on time,8
"The computer is being really slow, especially on typing!",12
@lozzy hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.,6
once i hit christian in the head with a metal bat! haha he then socked me in the eye! haha i miss being a reckless little kid,11
All my spare time seems 'twill be spent doing homework this weekend.,10
@grentone Content content content .... gah! Story of my life right now - thx for reminding me. That's what I should be doing v. Tweeting,8
@mariramos hola Mari. Happy Mother's Day! Enjoy the family and the beach,7
@allymcfly :O she shouldnt judge the song on who wrote it  tell her shes mean haha,8
munchin BACON BUTTIES! woohoo!!  my faves!!!,5
Just look @ this hellacious desk...good grief  http://short.to/cevd,6
Licking chocolate crumbs off a Twirl wrapper like Zammo on smack,5
@benandskin Ah GDit! Ranger game this afternoon,5
I wasn't sore yesterday. But i'm definitely feeling those hills now! My legs hurt all the way up to my booty. Its a good hurt,10
@retrodiva I WISH I could be in bed by nine once in a while. I never make it in before 3-4 a.m.  #sleepdeprived. Doing too much.,10
@kiitzyy I think so hahah geez lady 3 hours ago?? Go to bed!! Lack of sleep is bad for your skin!,5
I actually got a bit of a tan today haha sadly will be working all weekend won't get a chance to enjoy the glorious sunrays boo,5
I need to go ouuut. I'm so bored.,1
Sooo tell me how I lost followerzzz,12
just woke up...feelin a lil better  &lt;3,9
going to take my sociology exam   and back to bed,9
@firedwarftj i was right about the wave off,9
YAY! GO TAYLOR SWIFT!! come to australia again!!!,5
@patricklanglois http://twitpic.com/4w52z - Patrick should come here and say hi!,8
"well movie night spoilt by fracked up disk-happiness gone, so time for sleep",10
Just got back from 5km run!  It was really good!,7
"@Turch Aww, congrats to the family. ;) Send me piccies in the email!",5
"Thought i saw the a-trak van, turns out its the Alcohol- TEAM van.",11
@WWisewolf Hey. Oh my. Remember to take some time to actually enjoy the day!  I've loads to do too. Better crack on! Have fun today.,7
@matthew_west and by music I meant awesome Christian artists.,9
Happy Mothers day to all mums,8
@tweerrerbot  Well I was following you because I think your interesting ... and I was right,7
Feeling down again. Today is way too stressful.,12
Everyone on the eastcoast... the rain hates us  let's just all fly to Cali. LOL,12
I've lost my pocket knife  Suggestions for replacing a Ken Onion Chive?,8
is loving the half day! If only it wasn't raining.  Soccer Practice tonightt.,10
@AshantiGirl HELLOOO!!! How are you?? Gosh I miss seeing you around. Thought of you last night when I had some amarula,10
Sitting on my sunny balcony and learning for the Dutch exam,9
I need a break! I NEED KITKAT! haha!,5
"Ach I'm back on t'internet, and @lucypaw has to go drive her mate somewhere so is w'out internet",8
"@VANS_66 I haven't had slip-ons in years, since my checkered days. Matter of fact I only have my torn up all black classics.",2
Has finally taken a shower after much distraction from twitter and the bubble wrap off to read  and drink a smoothie,2
"Sitting watching britain's got f all talent, but have watched a small girl cry and it's sad",10
im saaaaaaaaaaaaaad  i need someone to talk to.,8
@gregjames will you be posting a pic of you H suit?? Pretty please?,3
@charlottespeech Aww just read your tweet. I'm not sure about later either (work too)  feel it for us,8
Next to my birthday- Mother's Day is my favorite day of the year.  The one day I don't feel guilty for slacking just a little.   Aaaahh...,9
Won a gps at post prom,5
@melisadisti lol i hope i find someone to give me one too! lol,7
Not found: the thing I was looking for,2
Aww.. I lost 3 followers.  FOLLOW ME !,6
Sad! Casue everyone is going their seperate ways! Never going to see my friends again!,10
Seeing my brother graduate tomorrow. Should be fun.,4
argggggg car crash tv its just sooooooooo horrible to see her like that  #bgt,6
@jordanknight PS- Missed your tweets today!!!  Guess I'm addicted too.,7
@roryok I suppose it has a certain 80's charm. I'd personally hold out for the motorola 8 track phone. I like my phones chunky,9
@kaleidoscopeFTW But he got to do it with Effy!,12
"my friends are in San Pablo right now... they'll be drinking, laughing and swimming... and iim here....  huhuhu",10
"I mean, I'm just figuring out how to work it all",8
we did what we had to do,10
i want to see my bud mel  miss hur loads,10
"I need to go to ATL, mainly just to go to Ikea.  The stuff I want isn't available online.",12
"i forgot to put my work clothes in the dryer  also, i love my new slippers!",7
The Hangover: That movie is gonna be hilarious. wish i could see it with the crew,4
"@Peapods ooow those look painful, poor bb",12
"@wolulcmit @dubow just finished mine, some parts were remarkably difficult  cramming kanji now!",9
@karyva  i want alexis bledel back on screen every thursday night,7
"I meditate, I feel I am vast, very vast.  do you know it?what do you think about?",5
"Tati, I sent you an emal doll, did you get it?    @littletati",8
i'll do follow friday a little later on...i'm busy taking over this lady's job.,12
"just spent the day with Bridget and a small thing that got wind and farted a lot - oh yeah, her baby! Now slightly broody!",10
wah....American Chocolate Cheese Cake for my chweet mummy ! muaxxx,5
RIP leonardo. You were a great mini fiddler crab,4
@BayoArigbon what you took your bracket off... ? And now it's time for bed !,12
@a_tall_blonde   ~~Hello~~~  and thanks for the follow.,5
@Jonasbrothers Just saw the webc. awesome! i loved all the songs! im sad cuz i couldnt be there  had 2 wake up early and it started at 1am,10
my dad and i totally just rocked out to the offspring-pretty fly for a white guy. haha.,5
"Yay, my train is late... It starts here but it's 15 mins late arriving from London in the first place",12
@CesYeuxBleu is making everything fabulous tonight,4
@jonathanlerwill do you want to do my laundry as well?,12
The new Lego Rock Band trailer looks pretty weird. They coulda done a better job making it  http://bit.ly/jCfk7,8
"@kate38381849 haha, yeah i meant mall! -winks back-",11
@VeeeLEE  SUMMER farn lai ba ahhhh,8
Cried Like A Fukn Baby Today Durin Da Senior Show...Ima Miss All My Senior Friends,12
my sole supporter is not my sole supporter,12
ItS fRiDaY... I cAn'T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,3
@aquafreak123   me too.  it depresses me thinking about it.,10
@munzee the 14-24 is definitely going... sold the 70-200 and 200F2 is  too HEAVY  Think I'll get away with the 50/85? #Twedding,8
"@Soph_Ichigo She tried to carry on aswell, bless, I suppose maybe that's why kids shouldn't be in it?",12
can't wait for the 8th and the 13th.... its gonna be a loooong night!!,8
Really nice outside...I'm stuck at work,12
So its Superstar Sunday? @pradeepto is one superstar I know   #sunday,8
Cleaning my house on a Friday night,6
getting my morning coffee then heading to class,8
@tommymercedes wish i was but im in chicago,12
@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj,10
@talkaboutluck oh haha thanks again! that's something new!,11
@cheesygiraffe aww. I hope you feel better soon.,12
The city officially smells like dead fish,12
