text,label
@iAM_tRoyal5 @treydayy_ @TeflonDon4200 @Bossman_Carl big bro thought he was on house party's pajama jam like a bitch http://t.co/djuvhsBy84,1
"That bitch called on Thor for some strength. &#58386;&#58386; RT""@ChubbyGirlGod: Wait... http://t.co/UAf57JyiOi""",1
Don't be mad cause yo bitch Choosin,1
RT @scotty160: I blatantly believe that men look creepy as shit with a ghetto ass mustache,1
This bitch kicked me out,1
RT @SumGurl07: So cute! :) RT @iTweetFacts: Shy bunny... http://t.co/z4u6NpORdz,2
Kids a bitch,1
#oomf can get it but I'm chilling till da bitch hit me up,1
RT @KailsCooper: Single ladies Vs Cuffed hoes &#128131;&#128141;,1
Got this bad Spanish bitch &#128514;&#128079;&#128076;&#128527;&#128536; .,1
"4&#8419;2&#8419;0&#8419;

moke up",2
this party goin be off the chain/bad bitches only http://t.co/Qx7BZLFh,1
"Shy singer surprises and melts Simons heart: http://t.co/RbCWsvvdJY 

This was so damn beautiful! I almost cried!!",2
Hazlenut coffee and graham crackers every morning &#128525;&#128588;&#128152;,2
@charlierose @jdickerson racist@NorahODonnell Tx trash there's no comparison betwn Pres Obama n GWBush rt poll will show He's supported 100%,2
@On_Point_Prg another keyboard commando in real life you hide like a little bitch,1
"View from the ghetto ain't bad, Rio http://t.co/umjPU8gT",2
@TheLittleFella_ do yourself a favor and ball that up and throw in the trash.,2
I wonder where all these bitches I got at ?,1
"RT @Herman_NYRBlog: Yankees shouldn't even bother to show up to Boston, man. Just fold the franchise. Cancel baseball.",2
RT @LucciVee: Free pancake day at ihop....side bitches finna finally get a date out a nigga,1
RT @Dayma_micaela: I want a baby but im young and retarded so no,1
I just wish I had a girlfriend to come home to after a long night of fuckin wit bitches in the club,1
There's a special place in hell for people who slam on their brakes for yellow lights &#128532;&#128299;,2
What a sniveling little cunt. I would be embarrassed for him but I cant stand the guy. @joederosacomedy @TheCumiaShow,1
"@cuunthiaaa @Fvnxy he's the ""fuck her right in the pussy"" guy",1
These hoes be boof smh,1
@BarackObama @MichelleObama omfg you elitist bitch no one cares what you think! go fuck yourselves are you in china anyway?,1
@JjLoveUp tranny,2
@StevenLevandows tf? get me on that bitch stat,1
@bygbootiejuliie just FaceTime Doms bitch ass,1
@xDSmooth follow me back hoe,1
"Cunts, cunts everywhere.",1
RT @FuckTraVonn: @TropicalKyle I saw the xxx but I just thought she was a hoe,1
"Someone should explain to Blake griffin that talking trash to an opposing 3rd string is unbecoming, even amongst clippers.",2
Like stop being a bitch for 3.2 seconds.,1
RT @LilTunechi: Pik taken by Biebz! Shout out my nig Jereme Rogers http://t.co/B1yhx9zuSV,1
"U can't stay the same &amp; expect change. U can't truly expect a good man if he call himself nigga, nigger.It means the same; A No Good Person!",1
RT @Youss_Mayer: &#8220;@SaddyBey: Fat bitch. What's her @? http://t.co/IZGkpcqIO0&#8221;&#128557;&#128514;&#128557;&#128557;&#128557;,1
RT @AshtonMartin97: @WhitfordZach29 that's 5 years away from legal drinking age and 14 year old pussy ?? ahaha eat ice cream not pussy bud,1
@rochaaxx yellow,2
#HOLIDAYSEASONLIVE @ShyGlizzy @plies Shy Glizzy Feat Plies - FREE THA GANG: http://t.co/pYGOSk0qCP,2
"RT @FlyEaglesNation: Yeah, #Eagles definitely aren't finishing 4th in division. Not this year bitches.",1
It's basic bitches unite around these parts &#128514;,1
"I miss you being a wee cheeky cunt to me, sad times #missAbby",1
"RT @SuperrrrMcNasty: Lmfao , this bitch was giving head in the back of a classroom she better go tf ahead !",1
"RT @DamnitCorn: This bitch does so begrudgingly as fuck. Was like""man up you a big bad man crying like a bitch.""",1
@Prince_WilliamB @MixyArts This nothing to do with my shoes you ignorant twat.,1
"""My momma told me to tell you to mind yoooo damn motha fuckin business you 2+2 not knowin what it is bitch!!!!!!""",1
I don't got that bad of a mouth do I? Fuck shit ass bitch cunt shooby de doo wop,1
RT @slimthugga: U a nurse &#128514;RT @Blaccstone: @slimthugga you a clown boy You music is trash.... I dare you say something back I bury your Bit&#8230;,1
I can't blow bubbles or whistle. I'm basically retarded.,0
