text,label
This bitch just texted me out the blue bout want see her butt.,1
"Yaaasss! RT @LoveMsLiz: When a hoe is talking about how they really don't be hoes..... &#128530; like girl, if you gotta explain it.. 9/10 a hoe.",1
A lot of cool bitches that a nigga went to school with was major hoes ... And they man don't know,1
that bitch flawless af,1
i wouldnt for michaelangelo RT @DerekIsNormal: YAAAAAAASSS!!! RT @TheYelloNegro: These hoes out of control https://t.co/t4waR9G8cT,1
@Montea_Rollin @kayysavage bitch ion talk to 3 &#128514;&#128557; shit ion even talk to 1 can you even name 1 ? Lol,1
"@TheJadedNYer yesterday twitter was telling them same dudes that 30+ pussy was the best, so have faith!",1
RT @JC2theQ: Yanks walk off win &#128591;,2
&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,1
@frances_simply you still ugly then a hoe and you still look like muffie off Arthur &#128527;&#128527;&#128526;&#128526;,1
"That bitch was worried about fines? Fuck you. My best friend got jumped by 6 cock suckers. Fines should be the least of your worries,",1
Yea I see ya hoe,1
Debating feminism with a gay professor uninformed girls and low IQ rednecks is not my idea of a fun Wednesday night,2
"@TheOneMiss_Luu But if we loved again, I swear I'd love you right. Btw bitch you better not be googling these lyrics! Mine is from the &lt;3",1
Why you let these hoes tear what we had right apart,1
RT @India_MSM: can Raheel mock Propphet Muhammad in same way as he mocked Lord Ram and Sita https://t.co/IjeAhR3cJI &#8230; will he apologise ?&#8230;,2
Surrender of Divinity - Conquerors of the Apocalypse: http://t.co/9Qv5RsY1p3 via @youtube &gt;Oriental Black Metal Hell!!,2
Sluts and hoes are needed.Respect their services.,1
"Id make you look like an absolute pussy, because you're too scared to say anything to my face hahahahahaha",1
Its suppose to be yellow but we dont do yellow &#127821;&#128520;&#128127;&#128127;&#128520;&#128127;&#128127;&#128127; http://t.co/y1hLiBjQmn,2
@HBergHattie @snkscoyote I wonder if the progs didn't relegate young black men to the ghettos to keep them away from harry reid's friends...,2
"RT @HistoryInPics: Allied soldiers mock Hitler atop his balcony at the Reich Chancellery, by Fred Ramage, 1945 http://t.co/hltkroqRys",2
I just got so hype haha lets go!!!! Beat the shit out dat pussy ass niqqa,1
@MrWoofless Don't be a bitch.,1
"My reaction when a spoiled white kid says ""nigga"" like they a thug. #everytime #whiggers http://t.co/FZvwC7AskW",1
@delaney_guinan ol rachet ass bitch,1
@kieffer_jason you dumb fuck that's not a fucking full address you dumbass I don't live in Plano so how the fuck would I know retard,1
These hoes ain't yours it's just yo turn #&#128175;&#128175; u hear me?,1
Y Rick such a weak hoe n this season? Not a good look fam,1
"RT @IamMrEchols: Lmao &#8220;@GuruJeremy: A hoe's best excuse is ""it just happened"" lol. No. You being a hoe just happened. It's okay to admit it&#8230;",1
@MadameCrystalB stop calling her a bitch *crystal voice*,1
RT @zachbooty: Building a dresser really makes me crave an ice cold glass of pussy am I right dudes,1
