text,label
"
Worse?  Maybe not, but it is definately a violation of the
rules the US govt. supposedly follows.  Maybe the others
should be changed to?  But I'm not personally as concerned
about the anthem since I don't come across it in daily
nearly unavoidable routines.


I don't despise the people...just their opinions.  I meant
when chatting with the ones who refuse to listen to any idea
other than their own...then it just becomes an exercise for
amusement.
",0
"

I am fairly sure that she could obtain citizenship by making an
application for it. It might require immigration to Germany, but
I am almost certain that once applied for citizenship is inevitable
in this case.




More interesting only for your propaganda purposes. I have said several
times now that I don't consider Iran particularly exemplary as a good
Islamic state. We might talk about the rights of people in ""capitalist
secular"" third world countries to give other examples of the lack of
rights in third world countries broadly. Say, for example, Central
American secular capitalist countries whose govt's the US supports
but who Amnesty International has pointed out are human rights vacua.
",0
"
	Ok, so how about the creation of oil producing bacteria?  I figure
that if you can make them to eat it up then you can make them to shit it.
Any comments?",14
"The problems with Catholic liturgy are likely to continue for
some time.  The problem is, in a nutshell, this: the Liturgy is a
symbolic action - in other words Catholics do [or should] believe that
the _signs_ during the mass - Water, Blessings, Vestments, Altar,
Relics, etc - are real. That is the sprinkling of water bestows real,
almost tangible, holiness, the Vestments are a real indication of real
sacred time. The point of a _symbol_ is that it is understood by all
to be connected to an underlying REAL referent. This kind of thinking
precludes analysis; holy water is not holy because of anything, it
simply IS holy.

But, modern westerners find it extremely difficult, especially if
well- educated, to think of the mass as a symbol. We are more likely
to see it as a _sign_, ie an action that represents grace, but which
could be replaced with other signs. In concrete terms, this means the
mass has become a commercial for God's grace rather than the real
thing. You can mess around with a commercial in a way you wouldn't
dare with the real thing [ask Coca-Cola Co.!]. These attitudes have
been encouraged by Liturgy workshops, etc. which instead of focusing
on _how_ to do do liturgy, have focused on how to create a meaning in
liturgy. You can only create signs, symbols have to come from God [or
the heart, or somewhere deeper than analysis. The most dramatic
example of this shift in understanding has been in the treatment of
the sacred species [the consecrated host and wine]. Now, with pita
bread etc, it is common to come away from the altar with hands covered
in particles. If the Host is a sign of Grace, this isnt and issue; but
Catholics in the past would have been distraught at this real
desacration of the real symbol of Jesus' body.

Modern Catholic liturgy  is caught in this epistemological shift. We
try to perfrom the old rites, but then we have some liturgomaniac
priest get up and 'explain' what we are doing - so we stop doing it and
start pretending to do it. This is not a soul filling experience.
It doesn't help BTW that we have got stuck witha huge amount of two and
three chord ersatz-folk music [again a result of mis-analysis: complicated
tunes are in fact easier to remember than simple ones - this was the
genius of Wesley and the 19C Anglican hymn writers]. Taize' is only
slightly better.

What are we to do? Well I suggest rejecting the parish system if it
doesn't work for you. Search out a Church where the liturgy is well
prepared not well-explained. They exist in every city. This is not BTW
a matter of particular style: the music might be old or new. It is
the attitude of the church that counts. Also, note that a conservative
liturgy - harking back to pre-Vatican II days, does not necessarily mean
the Church will be socially conservative.

In NYC I can recommend:
	Corpus Christi - W 12st St.
	Corpus Christi - W 12st St. - very conservative liturgy, 
	St. Joseph's, Greenwich Village.  - Modern, ""clean"", largely gay
	Oratorian Church, Brooklyn - Very beautiful

Avoid, anywhere, anytime a church with electric candles.

Happy Easter: Christos Aneste', Christos Voskrezhne, Christ is Risen",15
"Al Weiss played second for the White Sox in the early sixties, chiefly as
back up to Don Buford. Good glove, no hit, some spunk.

(Which reminds me: do they still serve Kosher hot dogs at the new Comiskey?)
",9
"I am creating a graphics program using the Athena widgets. I use
Xlib routines to install a custom Graphics Contex by obtaining the display,
and window variables with the XtWindowOfObject() and XtDisplayOfObject().
The object was one of the sub widgets.  
  The problem occurs that whenever a button is pressed or a menu is selected
the graphic contex reverts to the orginal one. I tried moving the allocation
of the graphic context before the allocation of the buttons but nothing
changed. I am preforming all of this manipulation before calling 
XtAppMainLoop().

Thank you for any help.
Leslie Donaldson",5
"

And/or taking the rubber ball out of the mouse (should be directions
in the manual or on the bottom of the mouse) and cleaning it with
alcohol (isopropyl, I believe - the same alcohol as used for cleaning
your cassette deck).  This is good to do every so often, even if you
have a mouse pad.  Dust still gets caught in the mouse and on the
rubber ball.  As well, lint and other garbage may find it's way onto
the rubber ball and get into the mouse damaging the horizontal and
vertical sensors.

Hope this helps.  Good luck.

--
Sincerely,

Robert Kayman	----	kayman@cs.stanford.edu  -or-  cpa@cs.stanford.edu",2
"In  <1qvos8$r78@cl.msu.>, vergolin@euler.lbs.msu.edu (David Vergolini) writes...

There's quite a few Wings fans lurking about here, they just tend
to be low key and thoughtful rather than woofers.  I suppose every
family must have a Roger Clinton, though.  But remember (to paraphrase
one of my favorite Star Trek lines), ""if we adopt the ways of the Leaf
fans, we are as bad as the Leaf fans"".

Ron",10
"I know what the 68HC811E2 is all about, but I'm trying to figure
out what the 68SEC811E2 is... specifically, what does the SEC
stand for?
",12
"
This talk about the Phillies winning the NL East is scary.  VERY
scary!  Don't get me wrong, Im a Phillies fan but as late as last
year they looked helpless.  The funny thing was they did have a lot
of injuries in '92 spring training that basically killed their
chances.  Of course, don't forget the Dykstra wrist injury in the
first or second game?  

",9
