text,label
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,0
Yun buying... But school got offer 2000 plus only...,0
To day class is there are no class.,0
Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,0
"Nah, Wednesday. When should I bring the mini cheetos bag over?",0
U calling me right? Call my hand phone...,0
You tell what happen dont behave like this to me. Ok no need to say,0
I'm fine. Hope you are also,0
"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",0
Ok that's great thanx a lot.,0
Its a site to simulate the test. It just gives you very tough questions to test your readiness.,0
No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,0
O. Guess they both got screwd,0
Ok thanx...,0
Gud mrng dear hav a nice day,0
Die... Now i have e toot fringe again...,0
Horrible bf... I now v hungry...,0
Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,0
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",0
That's y we haf to combine n c how lor...,0
"Oops I did have it,  &lt;#&gt; ?",0
"U so lousy, run already come back then half dead... Hee...",0
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1
Hope you are having a great day.,0
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,0
"Ha. You donÛ÷t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",0
"K give me a sec, breaking a  &lt;#&gt;  at cstore",0
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",1
"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",1
"Oh... Icic... K lor, den meet other day...",0
Dude im no longer a pisces. Im an aquarius now.,0
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,1
I can take you at like noon,0
You intrepid duo you! Have a great time and see you both soon. ,0
Customer place i will call you.,0
So Ì_ pay first lar... Then when is da stock comin...,0
ARE YOU IN TOWN? THIS IS V. IMPORTANT,0
I'm at work. Please call,0
Who's there say hi to our drugdealer,0
Huh but i cant go 2 ur house empty handed right?,0
Oh yeah I forgot. U can only take 2 out shopping at once.,0
IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1
U wake up already? Thanx 4 e tau sar piah it's quite nice.,0
Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,1
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1
"Aight, call me once you're close",0
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,1
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,1
Yeah sure I'll leave in a min,0
Is it your yahoo boys that bring in the perf? Or legal.,0
"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",0
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,0
Oh k:)after that placement there ah?,0
Cause I'm not freaky lol,0
I will treasure every moment we spend together...,0
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,0
Does she usually take fifteen fucking minutes to respond to a yes or no question,0
Ok... Sweet dreams...,0
You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,0
Watching tv lor. Nice one then i like lor.,0
Did you try making another butt.,0
Ok lor.,0
\SHIT BABE.. THASA BIT MESSED UP.YEH,0
"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So",0
You are not bothering me but you have to trust my answers. Pls.,0
God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,0
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,0
Hasn't that been the pattern recently crap weekends?,0
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,1
Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,0
Already am squatting is the new way of walking,0
Hello which the site to download songs its urgent pls,0
No. I dont want to hear anything,0
